user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness,answer_similarity
What is the core methodology used by Think Codex for behavior change?,"[""Gamification For Behaviour Change\nGamified Solutions for Leadership, Talent\nManagement, Learning & Development, Culture\n& Engagement, and SustainabilityUnlocking Business Success\nthrough Behavior Change\nThink Codex offers dynamic, industry-\ntailored gamified solutions for effective\nbehaviour change. Our gamified\nplatform empowers employees to learn,\napply, and excel at work. We deliver\ntangible results through engaging\ntraining.\nOur Solutions (/new-folder)GLOBAL LEADERS TRUST US\n\ue02c \ue02d\nOUR SOLUTIONS TAILORED TO YOU\nOur award-winning simulations offer industry-specific We understand industry-specific challenges in\ngamified learning experiences that optimize your training Leadership, Talent Management, Learning and\ninvestments. Partner with us to elevate your team's Development, Culture & Engagement, and\ncapabilities and maximize your business Sustainability. Our solutions drive sustainable growth.\npotential with HRDC claimable programs.(/gamified-digital-"", 'LEAD - LEADERSHIP & TALENT\nPROGRAMMES\nThink Codex’s dual use of Gamification + Agile takes advantage of the strengths of\nboth methodologies in our Leadership Programmes.\nTo deliver the best solutions, we focus on 4 areas:\n•Leadership Model - What does a leader look like?\n•Leadership Development Framework - What is the system used to develop\nleaders?\n•Leadership Programme Execution – How does a leader’s learning journey look\nlike?\n•Leadership Impact – How can we measure a leader’s growth & impact?\nLEADERSHIP MODEL\nWHAT DOES A LEADER LOOK LIKE?Think Codex’s leadership model is based on 2 questions. In a daily life of a\nleader…..\n1. Which areas do leaders spend their time on?\n2. How much time do leaders spend on those areas?\nWHY IS IT IMPORTANT FOR YOU?\nWe want to invest in the skills where leaders need the most in their daily\nleadership roles.\nLEADERSHIP DEVELOPMENT FRAMEWORK\nWHAT IS THE SYSTEM USED TO DEVELOP LEADERS?', 'into an exhilarating\ndevelopment or\n• Confidence Factor\njourney.\ntraining intervention\n= Building\nmust be able to cover\nImprovements >\nall 3 factors if your\nImmediate Feedback\ngoal is behaviour\nand Debrief\nchange. We’ve foundOur model empowers that Gamification is\nindividuals and teams to the best way to target\nevolve their behaviours, all of the 3 factors.\nsupercharging your\nbusiness outcomes.\nAWARDS & RECOGNITION\nFEATURED INPRIVACY POLICY (/PRIVACY-POLICY) CONTACT US (/CONTACTUS)\nAddress: Email: (http (http\nThink Codex (201501035509) contact@thinkcodex.com\n9-13A,Infinity Tower,\nNo. 28,Jalan SS6/3,\n47301 Kelana Jaya\nPetaling Jaya, Selangor.\n\ue630 Think Blog & News RSS (https://www.thinkcodex.com/blognews?format=rss)MORE THAN YOUR TRADITIONAL CORPORATE\nTRAINING PROGRAM\nWe are here to help you find joy in your learning journey through gamified learning solutions to enhance employee development.\nEmail Address JOIN NEWSLETTER\nWe respect your privacy. Feel free to unsubscribe at anytime.']",The core methodology used by Think Codex for behavior change is the combination of Gamification and Agile approaches. This dual use leverages the strengths of both methodologies to create engaging and effective learning experiences that drive behavior change and enhance employee development.,"Think Codex uses the 3C Behavioural Change Model, which targets three factors: Cognitive (Building Knowledge), Competency (Building Habits), and Confidence (Building Improvements).",1.0,0.9751657931958799,0.0,0.0,0.21957162231648708,0.8782864892659483
What is the advantage of gamification in corporate training?,"['• The Cognitive, Gamification Advantage in\nthe 3C Model through 3\nCorporate Training\nCompetency and\nconnections:\n• By infusing training\nConfidence Factors\nwith game-like • Traditional training\nare critical for\n• Cognitive Factor =\ndynamics, methods often\nworking professionals\nBuilding Knowledge\nparticipants are struggle to sustain\nto achieve behaviour\n> Theory through\ninspired to actively engagement.\nchange. Leaving out\nDrip-Feed Method\nengage, resulting in Gamification bridges\nany one of the factors\n• Competency heightened interest, this gap by injecting\ncreates a gap.\nFactor = Building improved retention, enthusiasm and\nHabits > Practice and the practical fostering competition,\nthrough Repeatable • As such, any application of thereby transforming\nGameplay learning, acquired knowledge. the learning process\ninto an exhilarating\ndevelopment or\n• Confidence Factor\njourney.\ntraining intervention\n= Building\nmust be able to cover\nImprovements >\nall 3 factors if your\nImmediate Feedback', 'into an exhilarating\ndevelopment or\n• Confidence Factor\njourney.\ntraining intervention\n= Building\nmust be able to cover\nImprovements >\nall 3 factors if your\nImmediate Feedback\ngoal is behaviour\nand Debrief\nchange. We’ve foundOur model empowers that Gamification is\nindividuals and teams to the best way to target\nevolve their behaviours, all of the 3 factors.\nsupercharging your\nbusiness outcomes.\nAWARDS & RECOGNITION\nFEATURED INPRIVACY POLICY (/PRIVACY-POLICY) CONTACT US (/CONTACTUS)\nAddress: Email: (http (http\nThink Codex (201501035509) contact@thinkcodex.com\n9-13A,Infinity Tower,\nNo. 28,Jalan SS6/3,\n47301 Kelana Jaya\nPetaling Jaya, Selangor.\n\ue630 Think Blog & News RSS (https://www.thinkcodex.com/blognews?format=rss)MORE THAN YOUR TRADITIONAL CORPORATE\nTRAINING PROGRAM\nWe are here to help you find joy in your learning journey through gamified learning solutions to enhance employee development.\nEmail Address JOIN NEWSLETTER\nWe respect your privacy. Feel free to unsubscribe at anytime.', 'capabilities and maximize your business Sustainability. Our solutions drive sustainable growth.\npotential with HRDC claimable programs.(/gamified-digital-\n(/business-simulations) (/leadership-programme) (/team-building)\nprogrammes)\nWHY WE ARE YOUR LEARNING PARTNER\nWhen looking for people to work with, it’s important that you know them. Here’s your opportunity!THE IMPACT OF GAMIFICATION ON ENGAGEMENT\nAt Think Codex, our methodology is rooted in empowering behavioural change, harnessing the 3C Model, and\nleveraging the transformative power of gamification. Experience learning that resonates, engages, and drives results.Introducing the Think\nCodex 3C Behavioural\nThe 3 Factors of\nChange Model\nElevating Learning\nBehaviour Change\nEngagement through The Gamification\nGamification is applied in\n• The Cognitive, Gamification Advantage in\nthe 3C Model through 3\nCorporate Training\nCompetency and\nconnections:\n• By infusing training\nConfidence Factors\nwith game-like • Traditional training']","The advantage of gamification in corporate training lies in its ability to enhance engagement, retention, and behavior change among participants. By incorporating game-like dynamics and methods, gamification addresses the challenges of traditional training, which often struggles to maintain participant interest and engagement. 

Specifically, gamification:

1. **Heightens Interest**: It makes learning more enjoyable and engaging, encouraging active participation.
2. **Improves Retention**: The interactive nature of gamified training helps participants retain knowledge more effectively.
3. **Fosters Competition**: Gamification introduces elements of competition, which can motivate individuals and teams to perform better.
4. **Provides Immediate Feedback**: Participants receive instant feedback on their performance, which aids in learning and improvement.
5. **Encourages Habit Formation**: Through repeatable gameplay, learners can practice and reinforce their skills, leading to better habit formation.

Overall, gamification effectively targets the three critical factors of cognitive, competency, and confidence, creating a comprehensive training experience that drives sustainable behavior change and enhances business outcomes.","Gamification improves engagement in corporate training by adding enthusiasm and competition, thereby transforming the learning process into an exhilarating journey compared to traditional training methods.",0.9473684210526315,0.9941579962029535,0.9999999999666667,1.0,0.4126578217312851,0.9306312869251405
Which specific industry challenge areas do Think Codex’s gamified solutions address?,"[""Gamification For Behaviour Change\nGamified Solutions for Leadership, Talent\nManagement, Learning & Development, Culture\n& Engagement, and SustainabilityUnlocking Business Success\nthrough Behavior Change\nThink Codex offers dynamic, industry-\ntailored gamified solutions for effective\nbehaviour change. Our gamified\nplatform empowers employees to learn,\napply, and excel at work. We deliver\ntangible results through engaging\ntraining.\nOur Solutions (/new-folder)GLOBAL LEADERS TRUST US\n\ue02c \ue02d\nOUR SOLUTIONS TAILORED TO YOU\nOur award-winning simulations offer industry-specific We understand industry-specific challenges in\ngamified learning experiences that optimize your training Leadership, Talent Management, Learning and\ninvestments. Partner with us to elevate your team's Development, Culture & Engagement, and\ncapabilities and maximize your business Sustainability. Our solutions drive sustainable growth.\npotential with HRDC claimable programs.(/gamified-digital-"", 'curated by our R&D team. This\nis done through research and\nthrough collaboration with our\nglobal network of partners.\nBOOK FREE DEMO NOW\n(HTTPS://WWW.THINKCODEX.COM/CONTACTUS)\nPRIVACY POLICY (/PRIVACY-POLICY) CONTACT US (/CONTACTUS)\nAddress: Email: (http (http\nThink Codex (201501035509) contact@thinkcod\n9-13A,Infinity Tower, ex.com\nNo. 28,Jalan SS6/3,\n47301 Kelana Jaya\nPetaling Jaya, Selangor.\ue630 Think Blog & News RSS (https://www.thinkcodex.com/blognews?format=rss)\nMORE THAN YOUR TRADITIONAL\nCORPORATE TRAINING PROGRAM\nWe are here to help you find joy in your learning journey through gamified learning solutions\nto enhance employee development.\nEmail Address JOIN NEWSLETTER\nWe respect your privacy. Feel free to unsubscribe at anytime.', 'capabilities and maximize your business Sustainability. Our solutions drive sustainable growth.\npotential with HRDC claimable programs.(/gamified-digital-\n(/business-simulations) (/leadership-programme) (/team-building)\nprogrammes)\nWHY WE ARE YOUR LEARNING PARTNER\nWhen looking for people to work with, it’s important that you know them. Here’s your opportunity!THE IMPACT OF GAMIFICATION ON ENGAGEMENT\nAt Think Codex, our methodology is rooted in empowering behavioural change, harnessing the 3C Model, and\nleveraging the transformative power of gamification. Experience learning that resonates, engages, and drives results.Introducing the Think\nCodex 3C Behavioural\nThe 3 Factors of\nChange Model\nElevating Learning\nBehaviour Change\nEngagement through The Gamification\nGamification is applied in\n• The Cognitive, Gamification Advantage in\nthe 3C Model through 3\nCorporate Training\nCompetency and\nconnections:\n• By infusing training\nConfidence Factors\nwith game-like • Traditional training']","Think Codex’s gamified solutions address specific industry challenge areas in Leadership, Talent Management, Learning and Development, Culture & Engagement, and Sustainability.","The solutions address Leadership, Talent Management, Learning & Development, Culture & Engagement, and Sustainability.",1.0,0.0,0.9999999999,1.0,0.9033233483534187,0.8860206661409475
How does Think Codex unlock business success through behaviour change?,"[""Gamification For Behaviour Change\nGamified Solutions for Leadership, Talent\nManagement, Learning & Development, Culture\n& Engagement, and SustainabilityUnlocking Business Success\nthrough Behavior Change\nThink Codex offers dynamic, industry-\ntailored gamified solutions for effective\nbehaviour change. Our gamified\nplatform empowers employees to learn,\napply, and excel at work. We deliver\ntangible results through engaging\ntraining.\nOur Solutions (/new-folder)GLOBAL LEADERS TRUST US\n\ue02c \ue02d\nOUR SOLUTIONS TAILORED TO YOU\nOur award-winning simulations offer industry-specific We understand industry-specific challenges in\ngamified learning experiences that optimize your training Leadership, Talent Management, Learning and\ninvestments. Partner with us to elevate your team's Development, Culture & Engagement, and\ncapabilities and maximize your business Sustainability. Our solutions drive sustainable growth.\npotential with HRDC claimable programs.(/gamified-digital-"", ""Think Codex and Sustainability Unlocked\ncan support your organisation to navigate\nthe complexity of sustainable challenges\nand upskill your employees while\nsupporting the vision of a better future\nthrough a more sustainable world.\nLEARN MORE\n(https://www.thinkcodex.com/tcoxsupa\n1/#jump)\nJOIN THE MOVEMENT. DRIVE THE CHANGE.\nWITH THINK CODEX AND SUSTAINABILITY\nUNLOCKED, YOU'RE NOT JUST LEARNING—\nYOU'RE LEADING.\nMOVING THE NEEDLE\nWHY DOES IT MATTER TO YOUR ORGANISATION?\nSustainability is transforming global economy, creating new opportunities and changing expectations\ntowards a greener environment. Business leaders are taking measures to stay relevant in\nresponding to the growing force for change, including upskilling their workforce.\nAt Think Codex, we're dedicated to our sustainability journey, implementing digital simulations\n(https://www.thinkcodex.com/business-simulations) with an ESG focus and collaborating with key"", '1. Leaders- A greater self-awareness and personal growth.\n2. Organization - Business Results and Better Decisions through Behaviour\nChange.\nWHY IS IT IMPORTANT FOR YOU?\nAbove all else, organizations look for results. When leaders grow, they\nimpact the organization.Have some leadership initiatives within your organization? Contact us\nthrough the link below and let’s have a chat!\nBOOK FREE DEMO NOW ()\nPRIVACY POLICY (/PRIVACY-POLICY) CONTACT US (/CONTACTUS)\nAddress: Email: (http (http\nThink Codex (201501035509) contact@thinkcod\n9-13A,Infinity Tower, ex.com\nNo. 28,Jalan SS6/3,\n47301 Kelana Jaya\nPetaling Jaya, Selangor.\ue630 Think Blog & News RSS (https://www.thinkcodex.com/blognews?format=rss)\nMORE THAN YOUR TRADITIONAL\nCORPORATE TRAINING PROGRAM\nWe are here to help you find joy in your learning journey through gamified learning solutions\nto enhance employee development.\nEmail Address JOIN NEWSLETTER\nWe respect your privacy. Feel free to unsubscribe at anytime.']","Think Codex unlocks business success through behavior change by offering dynamic, industry-tailored gamified solutions that empower employees to learn, apply, and excel at work. Their gamified platform enhances engagement in training, leading to tangible results in various areas such as Leadership, Talent Management, Learning & Development, Culture & Engagement, and Sustainability. By focusing on behavior change, Think Codex helps organizations navigate industry-specific challenges, optimize training investments, and drive sustainable growth, ultimately resulting in better business outcomes and improved decision-making.","Think Codex unlocks business success by providing industry-tailored gamified solutions that empower employees to learn, apply their skills, and excel at work, delivering tangible results through engaging training.",1.0,0.926624572356708,0.8333333332916666,1.0,0.9900999312118168,0.9603997248472675
How do Business Experience Workshops (BEW) differ from full-fledged business simulations?,"['Business Experience Workshops (BEW)\nBusiness Experience Workshops are the latest gamified offering from Think Codex. It’s a\nbit lighter than our full fledged business simulations and priced more\ncompetitively as well. BEWs are available fully digital or Face-To-Face.\nBusiness Experience Workshops are designed with an outstanding experience in mind,\ntargeted towards specific learning objectives that are most pertinent in your\norganisation. Powered by Gamification, participants will split into competitive teams\nand apply what they’ve learnt over several iterated rounds. Pre- and Post-programme\nassessments will also be used to capture tangible improvements/changes at both\npersonal and project levels.TOPICS CURRENTLY AVAILABLE:\nDigital Transformation Bundle:\n• Embracing & Leveraging Data\n• The Digital Customer\n• Virtual Teams & Collaboration\n• The Digital Culture\n• Engaging & Managing Developers\nBusiness Skills Bundle:\n• Agile Project Management\n• Agility Mindset', '• The Digital Customer\n• Virtual Teams & Collaboration\n• The Digital Culture\n• Engaging & Managing Developers\nBusiness Skills Bundle:\n• Agile Project Management\n• Agility Mindset\n• Presentation SkillsBUSINESS SCENARIO-BASED HABIT-BUILDING MODEL\nLearn content within the context A step up from the Iterative\nof multiple business scenarios – Learning Model, BEWs utilise habit\nwhich helps participants to loops to create skill retention.\nprepare for real life scenarios.\nGAMIFIED ENGAGEMENT ASSESSMENT READY\nGamification targeting both Pre- and Post-Assessment to gauge\ngame psychology and game the participants’ level of\nmechanics, provides a highly- knowledge & capability on the\nengaging environment to boost particular topic.\nretention.WORLD-CLASS CONTENT\nAs always, world-class\ntheory, methods and tools are\ncurated by our R&D team. This\nis done through research and\nthrough collaboration with our\nglobal network of partners.\nBOOK FREE DEMO NOW\n(HTTPS://WWW.THINKCODEX.COM/CONTACTUS)', 'In a complex and challenging reality, managers need new insights, tools and skills. The new work space is bombarded by endless events, changes and\ninformation.\nA manager can find themselves busy all day long in the turbulence of events and yet produce very little value for the organization.\nThe program equips managers with a set of practical, easy to implement tools for effective management in the new disruptive work space.\nMETHOD\nA highly practical application helps learners increase their ability to focus on important issues, manage and organize their activities more effectively instead of\nbeing caught up in daily affairs and events.\nMISSION POSSIBLE is a unique solution that can be applied all the time: quarter - month - week - day. This is a solution that helps increase productivity from\nindividuals to organizational performance: light theory, focus on practical exercises, follow up coaching to ensure implementation after the program, using']","Business Experience Workshops (BEW) differ from full-fledged business simulations in several key ways:

1. **Complexity and Depth**: BEWs are designed to be lighter and less complex than full-fledged business simulations, making them more accessible for participants.

2. **Pricing**: BEWs are priced more competitively compared to full-fledged simulations, making them a more cost-effective option for organizations.

3. **Format**: BEWs can be offered fully digital or Face-To-Face, providing flexibility in how participants engage with the content.

4. **Focus on Learning Objectives**: BEWs are specifically targeted towards particular learning objectives that are pertinent to the organization, whereas full-fledged simulations may cover broader or more complex scenarios.

5. **Gamification**: While both BEWs and simulations may incorporate gamification, BEWs emphasize a competitive team-based approach with multiple iterated rounds, enhancing engagement and retention.

6. **Assessment**: BEWs include pre- and post-programme assessments to capture tangible improvements at both personal and project levels, which may differ in approach or execution from assessments used in full-fledged simulations.

Overall, BEWs provide a more streamlined, focused, and engaging learning experience compared to the more comprehensive and intensive nature of full-fledged business simulations.",BEWs are described as being 'lighter' than full business simulations and are priced more competitively.,0.5625,0.9863467907708088,0.9999999999,1.0,0.39656266200925616,0.8817260215215079
What topics are included in the Digital Transformation Bundle for BEWs?,"['Business Experience Workshops (BEW)\nBusiness Experience Workshops are the latest gamified offering from Think Codex. It’s a\nbit lighter than our full fledged business simulations and priced more\ncompetitively as well. BEWs are available fully digital or Face-To-Face.\nBusiness Experience Workshops are designed with an outstanding experience in mind,\ntargeted towards specific learning objectives that are most pertinent in your\norganisation. Powered by Gamification, participants will split into competitive teams\nand apply what they’ve learnt over several iterated rounds. Pre- and Post-programme\nassessments will also be used to capture tangible improvements/changes at both\npersonal and project levels.TOPICS CURRENTLY AVAILABLE:\nDigital Transformation Bundle:\n• Embracing & Leveraging Data\n• The Digital Customer\n• Virtual Teams & Collaboration\n• The Digital Culture\n• Engaging & Managing Developers\nBusiness Skills Bundle:\n• Agile Project Management\n• Agility Mindset', '• The Digital Customer\n• Virtual Teams & Collaboration\n• The Digital Culture\n• Engaging & Managing Developers\nBusiness Skills Bundle:\n• Agile Project Management\n• Agility Mindset\n• Presentation SkillsBUSINESS SCENARIO-BASED HABIT-BUILDING MODEL\nLearn content within the context A step up from the Iterative\nof multiple business scenarios – Learning Model, BEWs utilise habit\nwhich helps participants to loops to create skill retention.\nprepare for real life scenarios.\nGAMIFIED ENGAGEMENT ASSESSMENT READY\nGamification targeting both Pre- and Post-Assessment to gauge\ngame psychology and game the participants’ level of\nmechanics, provides a highly- knowledge & capability on the\nengaging environment to boost particular topic.\nretention.WORLD-CLASS CONTENT\nAs always, world-class\ntheory, methods and tools are\ncurated by our R&D team. This\nis done through research and\nthrough collaboration with our\nglobal network of partners.\nBOOK FREE DEMO NOW\n(HTTPS://WWW.THINKCODEX.COM/CONTACTUS)']","The topics included in the Digital Transformation Bundle for Business Experience Workshops (BEWs) are:

1. Embracing & Leveraging Data
2. The Digital Customer
3. Virtual Teams & Collaboration
4. The Digital Culture
5. Engaging & Managing Developers","The bundle includes Embracing & Leveraging Data, The Digital Customer, Virtual Teams & Collaboration, The Digital Culture, and Engaging & Managing Developers.",1.0,0.9431701726498619,0.99999999995,1.0,,0.9066880429077517
What topics are included in the Business Skills Bundle?,"['• The Digital Customer\n• Virtual Teams & Collaboration\n• The Digital Culture\n• Engaging & Managing Developers\nBusiness Skills Bundle:\n• Agile Project Management\n• Agility Mindset\n• Presentation SkillsBUSINESS SCENARIO-BASED HABIT-BUILDING MODEL\nLearn content within the context A step up from the Iterative\nof multiple business scenarios – Learning Model, BEWs utilise habit\nwhich helps participants to loops to create skill retention.\nprepare for real life scenarios.\nGAMIFIED ENGAGEMENT ASSESSMENT READY\nGamification targeting both Pre- and Post-Assessment to gauge\ngame psychology and game the participants’ level of\nmechanics, provides a highly- knowledge & capability on the\nengaging environment to boost particular topic.\nretention.WORLD-CLASS CONTENT\nAs always, world-class\ntheory, methods and tools are\ncurated by our R&D team. This\nis done through research and\nthrough collaboration with our\nglobal network of partners.\nBOOK FREE DEMO NOW\n(HTTPS://WWW.THINKCODEX.COM/CONTACTUS)', 'Business Experience Workshops (BEW)\nBusiness Experience Workshops are the latest gamified offering from Think Codex. It’s a\nbit lighter than our full fledged business simulations and priced more\ncompetitively as well. BEWs are available fully digital or Face-To-Face.\nBusiness Experience Workshops are designed with an outstanding experience in mind,\ntargeted towards specific learning objectives that are most pertinent in your\norganisation. Powered by Gamification, participants will split into competitive teams\nand apply what they’ve learnt over several iterated rounds. Pre- and Post-programme\nassessments will also be used to capture tangible improvements/changes at both\npersonal and project levels.TOPICS CURRENTLY AVAILABLE:\nDigital Transformation Bundle:\n• Embracing & Leveraging Data\n• The Digital Customer\n• Virtual Teams & Collaboration\n• The Digital Culture\n• Engaging & Managing Developers\nBusiness Skills Bundle:\n• Agile Project Management\n• Agility Mindset', 'The winning solution to gear up your workforce in your\norganisation. Suitable for professionals at all levels, from\nINDUSTRIES AND\nexecutives to interns, across various departments including\nFOR ALL\nSustainability, CSR, Operational Risk, Integration,\nGovernance, L&D, and Net Zero – not limited to C-suite\nPROFESSIONALS\nroles.\nSUSTAINABILITY\nOur learning partner has gained the trust from industry\nleaders such as Santander, BNP Paribas, Handelsbanken,\nUNLOCKED: THE\nRBC, the EBRD, Hogan Lovells, The University of Oxford\nLEADING EXPERT IN\nSaid Business School, Hult International Business School,\nGrant Thornton, GSK, and Schroders - to empower their\nTHE INDUSTRY\nemployees to navigate towards sustainability.']","The topics included in the Business Skills Bundle are:

1. Agile Project Management
2. Agility Mindset
3. Presentation Skills","The Business Skills Bundle includes Agile Project Management, Agility Mindset, and Presentation Skills.",0.6666666666666666,0.9999999999999998,0.9999999999,0.0,0.9917201731564471,0.9668806926257882
What methodology do BEWs use to ensure skill retention?,"['Business Experience Workshops (BEW)\nBusiness Experience Workshops are the latest gamified offering from Think Codex. It’s a\nbit lighter than our full fledged business simulations and priced more\ncompetitively as well. BEWs are available fully digital or Face-To-Face.\nBusiness Experience Workshops are designed with an outstanding experience in mind,\ntargeted towards specific learning objectives that are most pertinent in your\norganisation. Powered by Gamification, participants will split into competitive teams\nand apply what they’ve learnt over several iterated rounds. Pre- and Post-programme\nassessments will also be used to capture tangible improvements/changes at both\npersonal and project levels.TOPICS CURRENTLY AVAILABLE:\nDigital Transformation Bundle:\n• Embracing & Leveraging Data\n• The Digital Customer\n• Virtual Teams & Collaboration\n• The Digital Culture\n• Engaging & Managing Developers\nBusiness Skills Bundle:\n• Agile Project Management\n• Agility Mindset', '• The Digital Customer\n• Virtual Teams & Collaboration\n• The Digital Culture\n• Engaging & Managing Developers\nBusiness Skills Bundle:\n• Agile Project Management\n• Agility Mindset\n• Presentation SkillsBUSINESS SCENARIO-BASED HABIT-BUILDING MODEL\nLearn content within the context A step up from the Iterative\nof multiple business scenarios – Learning Model, BEWs utilise habit\nwhich helps participants to loops to create skill retention.\nprepare for real life scenarios.\nGAMIFIED ENGAGEMENT ASSESSMENT READY\nGamification targeting both Pre- and Post-Assessment to gauge\ngame psychology and game the participants’ level of\nmechanics, provides a highly- knowledge & capability on the\nengaging environment to boost particular topic.\nretention.WORLD-CLASS CONTENT\nAs always, world-class\ntheory, methods and tools are\ncurated by our R&D team. This\nis done through research and\nthrough collaboration with our\nglobal network of partners.\nBOOK FREE DEMO NOW\n(HTTPS://WWW.THINKCODEX.COM/CONTACTUS)', '• The Cognitive, Gamification Advantage in\nthe 3C Model through 3\nCorporate Training\nCompetency and\nconnections:\n• By infusing training\nConfidence Factors\nwith game-like • Traditional training\nare critical for\n• Cognitive Factor =\ndynamics, methods often\nworking professionals\nBuilding Knowledge\nparticipants are struggle to sustain\nto achieve behaviour\n> Theory through\ninspired to actively engagement.\nchange. Leaving out\nDrip-Feed Method\nengage, resulting in Gamification bridges\nany one of the factors\n• Competency heightened interest, this gap by injecting\ncreates a gap.\nFactor = Building improved retention, enthusiasm and\nHabits > Practice and the practical fostering competition,\nthrough Repeatable • As such, any application of thereby transforming\nGameplay learning, acquired knowledge. the learning process\ninto an exhilarating\ndevelopment or\n• Confidence Factor\njourney.\ntraining intervention\n= Building\nmust be able to cover\nImprovements >\nall 3 factors if your\nImmediate Feedback']","Business Experience Workshops (BEWs) utilize a habit-building model that incorporates habit loops to create skill retention. This approach is a step up from the Iterative Learning Model, allowing participants to learn content within the context of multiple business scenarios, which helps them prepare for real-life situations. Additionally, the gamified engagement aspect of BEWs enhances retention by fostering enthusiasm and competition among participants, making the learning process more engaging and effective.",BEWs utilize a Habit-Building Model that uses habit loops to create skill retention.,1.0,0.8590216313117587,0.49999999995,1.0,0.5653012994525444,0.9277848130026416
What are the official and flexible working hours at the company?,"['EMPLOYEE HANDBOOK (VERSION 1.2)\nThe employee handbook serves as official company policies and guidelines. It is to be adhered\nto during the course of employment.\nSECTION A: GENERAL\n1. General Benefits:\n01. EPF & SOCSO - Standard contribution.\n02. Refer to below for more information on Section B : Leaves and Section C\nClaims & Allowances.\n2. Working Hours:\n01. Official working hours: 9:00am to 5:00pm\n02. Extended flexible working hours: within 8:00am to 8:00pm\na. You can tweak your starting and ending time but you are still required to\nwork a standard number of core hours within a specified period.\nb. You must be available during your working hours for calls.\nc. For any other special circumstances, please discuss with your manager.\nFinal decision must be agreed upon by your manager.\n3. Remote Working Arrangements\n01. We mainly work from home, with occasional office visits within a month.\n02. You can work from other locations beyond your home:\na. Within Klang Valley - No actions required', '01. We mainly work from home, with occasional office visits within a month.\n02. You can work from other locations beyond your home:\na. Within Klang Valley - No actions required\nb. Outside Klang Valley - Inform and discuss with your manager beforehand\nto ensure work can still be carried out consistently.\nc. Outside Malaysia - Limited to 2 times a year (maximum 5 working days at\na time). Inform and discuss with your manager beforehand to ensure work\ncan still be carried out consistently.\n03. General practice:\na. You must be near your devices (laptop and phone) and be within reach\nfor calls - both scheduled and unscheduled.\n4. Image & Branding\n01. Dress code for client meetings and sessions:\na. Proper and neat attire\nb. Example: round collar and jacket, collared shirt, etc\nc. No home or gym clothes, no sleeveless02. Turn on virtual backgrounds unless software does not allow\n03. General practice:\na. Do not multitask during calls.\n5. MVP – Most Valuable Player! Award:', '13. Claim Acceptance:\n01. Employees will only be entitled for Flexi-Health, Flexi-Lifestyle and Personal\nDevelopment allowance upon confirmation.\n02. All claims & allowance from Clause 8 to Clause 12 must be accompanied by a\nphysical receipt. Failure to do so will result in the claims being rejected.\nSECTION D: OTHERS14. External Work:\n01. External work is not encouraged unless you absolutely have to for your own\nwellness.\n02. You must inform the company on all external work you are doing, especially if\nthere could be a conflict of interest.\n03. No external work is allowed to be scheduled during working hours.\n15. Resignation:\n01. Upon completion of probation, 2 months written notice is required to be given.\n16. Non-Competition:\n01. A staff member may not join competitors or Think Codex partners for a period of\none year after leaving Think Codex.\n02. A staff member may not start a company within the same industry for a period of\none year after leaving Think Codex.']","The official working hours at ThinkCodex Sdn Bhd are from 9:00 am to 5:00 pm. The extended flexible working hours are within 8:00 am to 8:00 pm, allowing employees to adjust their starting and ending times while still being required to work a standard number of core hours within a specified period.","Official working hours are 9:00 am to 5:00 pm, but employees can use extended flexible hours within 8:00 am and 8:00 pm as long as core hours are met.",1.0,0.8773538177088448,0.9999999999,1.0,0.9744757372460813,0.8978744710153124
What is the non-competition policy for staff leaving the company?,"['13. Claim Acceptance:\n01. Employees will only be entitled for Flexi-Health, Flexi-Lifestyle and Personal\nDevelopment allowance upon confirmation.\n02. All claims & allowance from Clause 8 to Clause 12 must be accompanied by a\nphysical receipt. Failure to do so will result in the claims being rejected.\nSECTION D: OTHERS14. External Work:\n01. External work is not encouraged unless you absolutely have to for your own\nwellness.\n02. You must inform the company on all external work you are doing, especially if\nthere could be a conflict of interest.\n03. No external work is allowed to be scheduled during working hours.\n15. Resignation:\n01. Upon completion of probation, 2 months written notice is required to be given.\n16. Non-Competition:\n01. A staff member may not join competitors or Think Codex partners for a period of\none year after leaving Think Codex.\n02. A staff member may not start a company within the same industry for a period of\none year after leaving Think Codex.', 'one year after leaving Think Codex.\n02. A staff member may not start a company within the same industry for a period of\none year after leaving Think Codex.\n17. Intellectual Property:\n01. In the course of employment, any intellectual property created must be kept\nconfidential and not disclosed to other parties outside of Think Codex.\n02. In the event when an employee leaves Think Codex, all intellectual property will\nremain with the company.\n03. The employee is forbidden to use such IP outside the employment whether in\npart or in full.\n04. Failure to comply will result in action taken by Think Codex including legal action.\n18. Termination:\n01. This arrangement may be terminated by either party upon notice in writing to\neither party with notice that complies with the Employment Laws of Malaysia.']","The non-competition policy for staff leaving Think Codex Sdn Bhd states that a staff member may not join competitors or Think Codex partners for a period of one year after leaving the company. Additionally, a staff member is prohibited from starting a company within the same industry for a period of one year after leaving Think Codex.","A staff member may not join competitors or partners, or start a company in the same industry, for a period of one year after leaving Think Codex.",1.0,0.9351097780341606,0.99999999995,1.0,0.987650505134508,0.9506126789545081
